store_id,management_group_id,first_category_id,second_category_id,third_category_id,product_id,dt,sale_amount,stock_hour6_22_cnt,discount,holiday_flag,activity_flag,precpt,avg_temperature,avg_humidity,avg_wind_level,year,month,day,weekday
18,2,0,13,27,98,2024-06-09,0.5,0,0.829,1,1,5.3304,26.73,76.15,1.59,2024,6,9,Sunday
24,6,10,33,72,114,2024-04-29,1.0,0,1.0,0,0,2.3719,20.46,76.28,1.47,2024,4,29,Monday
91,5,16,27,97,250,2024-04-14,0.8,12,0.981,1,0,3.4507,17.14,78.39,1.73,2024,4,14,Sunday
128,6,20,50,229,212,2024-05-12,0.3,0,1.0,1,0,0.6034,22.18,65.62,1.25,2024,5,12,Sunday
74,4,13,1,214,627,2024-06-23,0.2,0,1.0,1,0,12.755,26.6,85.82,1.32,2024,6,23,Sunday
46,1,7,17,51,362,2024-05-04,0.1,11,1.0,1,0,2.8556,20.83,75.51,1.85,2024,5,4,Saturday
91,5,16,27,97,250,2024-06-14,0.5,0,1.0,0,0,6.4676,26.99,77.41,1.78,2024,6,14,Friday
41,6,21,64,19,691,2024-05-24,4.4,0,1.0,0,0,0.3751,22.85,67.75,1.77,2024,5,24,Friday
96,6,4,28,81,213,2024-05-19,0.6,0,1.0,1,0,2.1276,23.97,73.37,1.38,2024,5,19,Sunday
84,6,4,28,179,500,2024-05-09,1.0,0,0.8870000243186951,0,1,0.4965,20.76,67.79,1.98,2024,5,9,Thursday
118,6,8,29,113,109,2024-06-08,0.5,0,1.0,1,0,3.9589,25.14,75.65,1.52,2024,6,8,Saturday
132,6,20,58,172,223,2024-05-18,0.8,0,0.851,1,1,1.1014,22.13,76.41,1.59,2024,5,18,Saturday
95,6,4,28,216,20,2024-05-20,0.4,5,0.837,0,1,1.4589,22.65,79.71,1.57,2024,5,20,Monday
8,6,10,38,173,682,2024-04-01,1.5,2,0.807,0,1,3.5386,15.37,78.26,1.25,2024,4,1,Monday
142,0,5,5,6,768,2024-04-16,0.3,0,0.559,0,0,2.7338,18.66,76.93,1.53,2024,4,16,Tuesday
61,6,4,28,149,215,2024-06-18,2.6,0,0.525,0,1,13.2446,26.77,81.9,1.77,2024,6,18,Tuesday
1,5,18,45,93,374,2024-05-10,0.5,0,1.0,0,0,1.6203,20.43,65.36,1.67,2024,5,10,Friday
78,2,31,79,121,110,2024-03-29,0.2,0,1.0,0,0,3.0337,15.71,76.61,1.53,2024,3,29,Friday
145,6,10,38,190,715,2024-06-13,0.4,0,1.0,0,0,8.2334,25.39,86.69,1.66,2024,6,13,Thursday
84,6,4,28,81,70,2024-05-05,4.4,0,1.0,1,0,2.5025,20.06,73.73,1.7,2024,5,5,Sunday
148,6,4,28,81,21,2024-04-03,0.2,10,1.0,0,0,2.8333,17.52,77.48,1.46,2024,4,3,Wednesday
145,2,31,79,22,373,2024-06-10,1.1,0,0.852,1,1,3.4062,24.78,84.75,1.59,2024,6,10,Monday
147,5,16,25,94,638,2024-06-21,1.3,0,0.869,0,1,7.2127,26.59,84.14,1.5,2024,6,21,Friday
58,6,20,50,170,6,2024-06-13,1.2,0,0.647,0,1,7.1998,26.51,78.77,1.52,2024,6,13,Thursday
128,5,16,27,97,424,2024-05-05,0.1,2,1.0,1,0,2.7086,20.67,74.05,1.62,2024,5,5,Sunday
100,6,20,58,172,223,2024-05-07,0.7,0,0.851,0,1,0.5369,20.61,68.15,1.41,2024,5,7,Tuesday
1,6,4,28,10,79,2024-04-08,0.5,7,0.643,0,1,1.4231,16.21,77.23,1.23,2024,4,8,Monday
58,6,20,50,229,212,2024-04-22,0.3,0,1.0,0,0,2.2454,18.36,77.2,1.31,2024,4,22,Monday
142,6,20,50,24,300,2024-04-15,3.3,2,0.999,0,0,2.6336,18.2,79.6,1.75,2024,4,15,Monday
67,2,31,79,230,688,2024-05-01,0.5,0,0.849,1,1,2.3228,19.65,73.48,1.18,2024,5,1,Wednesday
100,6,20,50,2,104,2024-04-18,0.8,0,1.0,0,0,0.9593,17.81,75.08,1.9,2024,4,18,Thursday
145,6,20,68,127,122,2024-06-05,3.38,0,0.986,0,0,2.2131,23.41,84.23,1.93,2024,6,5,Wednesday
109,1,7,17,42,415,2024-05-21,0.4,0,1.0,0,0,1.768,23.46,70.13,1.92,2024,5,21,Tuesday
58,5,15,42,89,58,2024-05-07,0.8,0,0.888,0,1,0.7408,21.21,68.25,1.4,2024,5,7,Tuesday
95,5,16,27,98,224,2024-04-12,0.9,9,1.0,0,0,4.629,17.56,85.01,1.59,2024,4,12,Friday
145,5,16,25,99,634,2024-05-02,0.8,0,0.923,1,0,1.4965,20.17,77.5,1.67,2024,5,2,Thursday
59,6,20,68,176,769,2024-06-04,0.8,0,0.709,0,1,1.2604,24.02,70.99,1.73,2024,6,4,Tuesday
115,6,4,28,179,207,2024-04-10,0.0,16,1.0,0,0,2.2489,17.94,75.82,2.03,2024,4,10,Wednesday
1,6,4,28,131,190,2024-06-14,2.2,0,1.0,0,0,6.4732,26.92,77.54,1.73,2024,6,14,Friday
19,0,5,6,65,38,2024-04-27,0.7,0,0.785,1,1,1.5771,19.48,75.59,1.52,2024,4,27,Saturday
60,3,11,35,71,829,2024-06-13,0.0,16,1.0,0,0,7.6869,26.44,81.66,1.59,2024,6,13,Thursday
143,6,4,53,77,774,2024-06-11,0.7,0,1.0,0,0,5.6967,25.51,76.54,1.5,2024,6,11,Tuesday
112,2,29,76,60,580,2024-04-11,1.7,4,0.929,0,0,2.611,17.36,78.48,2.11,2024,4,11,Thursday
61,6,4,28,1,117,2024-05-01,4.1,0,1.0,1,0,2.2981,20.43,73.45,1.14,2024,5,1,Wednesday
115,2,31,79,121,110,2024-04-26,0.4,0,1.0,0,0,2.3273,20.3,72.3,1.22,2024,4,26,Friday
100,6,20,58,172,127,2024-05-05,0.8,3,0.961,1,0,2.5021,20.06,73.73,1.7,2024,5,5,Sunday
104,2,29,76,60,740,2024-05-11,0.1,11,1.0,1,0,2.1748,21.74,71.77,1.49,2024,5,11,Saturday
150,6,20,68,127,122,2024-04-08,0.9,10,0.922,0,1,1.4168,17.41,77.06,1.13,2024,4,8,Monday
55,5,16,26,96,345,2024-06-02,0.2,0,1.0,1,0,1.7642,23.57,70.07,1.71,2024,6,2,Sunday
60,6,4,28,1,117,2024-06-06,3.3,0,1.0,0,0,1.1778,24.84,78.28,1.43,2024,6,6,Thursday
131,6,20,58,172,17,2024-05-31,0.2,0,1.0,0,0,2.4676,22.52,73.16,1.66,2024,5,31,Friday
12,6,20,58,172,223,2024-06-10,0.4,0,0.766,1,1,5.167,25.55,76.29,1.52,2024,6,10,Monday
60,5,22,81,56,783,2024-05-15,0.9,3,0.833,0,1,1.3291,22.16,70.04,1.62,2024,5,15,Wednesday
8,6,10,38,173,682,2024-04-18,0.6,11,0.807,0,1,0.9314,18.11,75.16,1.71,2024,4,18,Thursday
132,5,22,81,56,783,2024-04-28,0.7,0,0.825,1,1,3.4387,20.31,80.66,1.75,2024,4,28,Sunday
81,6,4,28,180,118,2024-06-09,1.2,6,1.0,1,0,5.0391,26.19,76.18,1.39,2024,6,9,Sunday
62,5,16,27,104,635,2024-06-08,0.6,11,0.827,1,1,2.5755,26.07,73.61,1.77,2024,6,8,Saturday
148,2,31,79,128,387,2024-05-21,1.2,0,0.906,0,1,1.2147,23.72,74.91,1.32,2024,5,21,Tuesday
145,6,10,33,160,650,2024-05-09,1.1,4,0.858,0,1,0.7341,20.95,75.13,1.78,2024,5,9,Thursday
121,6,21,64,123,468,2024-06-14,0.7,0,1.0,0,0,5.7613,27.05,81.91,1.32,2024,6,14,Friday
104,5,16,25,105,290,2024-04-15,0.5,5,1.0,0,0,2.4387,18.33,76.03,1.48,2024,4,15,Monday
129,6,4,53,58,23,2024-04-10,0.3,5,1.0,0,0,1.2439,18.04,80.57,1.87,2024,4,10,Wednesday
19,5,16,27,97,250,2024-04-21,0.7,12,0.824,1,1,1.5681,19.65,74.22,1.46,2024,4,21,Sunday
81,0,28,72,154,834,2024-06-05,3.1,0,0.995,0,0,1.3036,24.24,71.48,1.85,2024,6,5,Wednesday
60,5,16,27,100,293,2024-03-29,0.7,4,1.0,0,0,5.0418,15.43,82.53,1.34,2024,3,29,Friday
121,6,10,33,164,449,2024-05-04,0.8,0,1.0,1,0,3.0798,21.83,76.01,1.38,2024,5,4,Saturday
29,6,21,64,19,691,2024-05-19,5.3,0,0.997,1,0,2.2833,23.34,73.52,1.48,2024,5,19,Sunday
24,6,10,57,205,760,2024-06-14,0.5,0,1.0,0,0,6.4903,27.53,76.86,1.45,2024,6,14,Friday
29,6,10,33,177,116,2024-06-07,1.1,5,0.891,0,1,1.8128,25.07,73.48,1.52,2024,6,7,Friday
95,6,20,50,170,6,2024-05-17,0.9,6,0.736,0,1,0.4091,23.34,78.19,1.48,2024,5,17,Friday
95,6,24,66,199,370,2024-04-14,1.3,4,1.0,1,0,3.8789,17.68,83.09,1.62,2024,4,14,Sunday
62,2,29,76,60,596,2024-04-06,1.1,4,1.0,1,0,2.8092,17.41,78.35,1.37,2024,4,6,Saturday
119,2,30,75,191,699,2024-06-12,0.3,0,0.953,0,0,5.4849,25.77,80.11,1.5,2024,6,12,Wednesday
132,6,4,53,77,774,2024-05-23,0.6,0,1.0,0,0,2.0535,22.88,72.46,1.86,2024,5,23,Thursday
81,0,5,7,67,37,2024-04-03,0.0,16,1.0,0,0,1.7324,16.21,76.2,1.46,2024,4,3,Wednesday
60,5,16,25,105,633,2024-04-10,0.4,4,0.719,0,1,1.2438,18.04,80.56,1.87,2024,4,10,Wednesday
151,6,20,50,183,822,2024-05-17,0.0,16,1.0,0,0,0.6136,22.51,70.55,1.66,2024,5,17,Friday
61,2,31,79,121,110,2024-04-28,0.9,8,0.905,1,1,3.1533,21.36,76.42,1.61,2024,4,28,Sunday
135,6,4,28,168,554,2024-05-30,0.5,6,1.0,0,0,1.2943,22.89,67.56,1.91,2024,5,30,Thursday
144,6,8,29,113,201,2024-03-31,0.9,11,1.0,1,0,1.5618,16.13,77.4,1.76,2024,3,31,Sunday
59,2,29,76,60,596,2024-05-06,1.3,10,0.935,0,0,2.0569,20.5,70.35,1.29,2024,5,6,Monday
67,2,29,78,157,600,2024-04-09,0.7,11,1.0,0,0,3.8577,17.05,77.55,1.7,2024,4,9,Tuesday
60,6,4,28,10,140,2024-03-31,0.7,13,0.977,1,0,2.1205,16.43,80.15,1.66,2024,3,31,Sunday
1,4,23,10,17,644,2024-05-27,1.9,3,0.61,0,1,2.1201,22.66,66.49,1.86,2024,5,27,Monday
118,6,21,64,123,216,2024-04-03,0.4,0,0.884,0,1,3.0086,17.54,75.96,1.31,2024,4,3,Wednesday
151,6,4,28,81,19,2024-03-28,1.6,4,1.0,0,0,1.7,15.48,73.54,1.97,2024,3,28,Thursday
131,5,16,25,105,633,2024-04-04,0.4,8,0.719,1,1,1.6238,15.74,75.74,1.67,2024,4,4,Thursday
55,6,21,64,184,806,2024-06-11,0.4,0,1.0,0,0,5.6877,25.28,76.68,1.75,2024,6,11,Tuesday
132,6,4,53,77,363,2024-03-31,0.4,0,1.0,1,0,1.986,15.64,80.02,1.72,2024,3,31,Sunday
143,5,16,27,104,292,2024-04-18,0.9,0,0.846,0,1,0.9337,18.53,74.91,1.67,2024,4,18,Thursday
84,5,16,25,101,422,2024-04-15,0.6,0,0.85,0,1,2.4417,17.4,76.17,2.17,2024,4,15,Monday
18,5,16,25,94,247,2024-06-03,0.9,4,0.82,0,1,2.8377,24.12,73.58,2.0,2024,6,3,Monday
109,6,8,29,116,853,2024-05-16,0.4,0,0.833,0,1,1.686,22.71,68.37,2.56,2024,5,16,Thursday
24,2,29,76,60,580,2024-04-15,0.9,6,0.967,0,0,2.4391,18.4,76.03,1.48,2024,4,15,Monday
93,6,21,64,184,806,2024-06-17,0.1,0,1.0,0,0,7.8808,27.14,78.73,1.57,2024,6,17,Monday
53,6,8,29,116,853,2024-04-11,0.4,0,1.0,0,0,2.8177,18.19,78.28,1.9,2024,4,11,Thursday
18,3,11,62,182,487,2024-04-18,0.3,0,1.0,0,0,0.9611,18.9,74.93,1.61,2024,4,18,Thursday
131,2,0,19,135,54,2024-04-23,0.6,4,1.0,0,0,1.2435,18.13,79.58,1.66,2024,4,23,Tuesday
56,6,4,53,58,578,2024-05-05,1.2,0,1.0,1,0,2.7085,20.67,74.05,1.62,2024,5,5,Sunday
1,6,4,28,168,810,2024-05-10,1.9,0,1.0,0,0,1.6203,20.43,65.36,1.67,2024,5,10,Friday
58,6,4,28,180,118,2024-04-07,0.0,16,0.7120000123977661,0,1,1.6243,17.13,79.32,1.18,2024,4,7,Sunday
118,6,4,28,180,118,2024-05-14,2.4,0,1.0,0,0,0.8152,22.12,69.99,2.0,2024,5,14,Tuesday
145,5,16,27,104,425,2024-06-20,0.1,0,1.0,0,0,9.0239,27.07,87.04,1.73,2024,6,20,Thursday
142,0,28,72,154,834,2024-06-08,2.5,5,1.0,1,0,3.9597,25.14,76.46,1.52,2024,6,8,Saturday
56,6,4,53,77,41,2024-05-25,0.9,0,1.0,1,0,0.8044,23.91,66.71,1.64,2024,5,25,Saturday
144,6,20,68,127,122,2024-04-09,0.4,9,0.922,0,1,3.8434,17.06,77.5,1.7,2024,4,9,Tuesday
1,6,4,28,10,79,2024-05-15,0.3,0,0.73,0,1,1.4288,21.84,64.01,1.79,2024,5,15,Wednesday
119,6,20,50,59,567,2024-05-23,0.5,0,0.781,0,1,1.3161,23.7,66.7,1.84,2024,5,23,Thursday
62,6,10,33,160,650,2024-05-31,0.7,3,0.858,0,1,2.2564,23.86,67.39,1.59,2024,5,31,Friday
95,6,20,50,24,300,2024-04-23,4.6,5,1.0,0,0,1.2458,18.93,81.53,1.81,2024,4,23,Tuesday
1,5,22,81,56,783,2024-05-27,1.5,2,0.848,0,1,2.1201,22.66,66.49,1.86,2024,5,27,Monday
118,6,21,61,16,439,2024-06-14,0.3,0,1.0,0,0,6.4116,27.17,79.08,1.52,2024,6,14,Friday
135,6,4,28,179,500,2024-05-15,0.6,3,0.75,0,1,1.4312,21.84,64.05,1.79,2024,5,15,Wednesday
146,6,24,51,145,416,2024-04-07,0.4,5,1.0,0,0,2.1713,16.28,79.61,1.27,2024,4,7,Sunday
84,6,20,68,176,769,2024-05-24,1.3,0,0.724,0,1,0.3743,22.98,66.76,2.18,2024,5,24,Friday
145,2,0,19,135,585,2024-04-03,0.5,5,1.0,0,0,2.536,16.35,80.67,1.58,2024,4,3,Wednesday
115,6,20,50,59,166,2024-04-27,1.2,5,1.0,1,0,1.5773,20.23,75.43,1.48,2024,4,27,Saturday
145,2,29,78,82,4,2024-06-19,2.9,5,0.865,0,0,13.8323,25.2,87.6,1.42,2024,6,19,Wednesday
12,2,29,76,60,580,2024-04-01,1.3,0,1.0,0,0,3.5385,15.37,78.26,1.25,2024,4,1,Monday
96,2,0,13,26,257,2024-05-09,0.4,0,0.961,0,0,1.077,21.49,68.92,1.56,2024,5,9,Thursday
60,6,4,28,81,21,2024-04-08,0.2,11,1.0,0,0,1.52,16.83,80.94,1.45,2024,4,8,Monday
57,6,20,68,127,122,2024-05-20,2.6,5,0.85,0,1,1.8076,22.45,74.82,1.46,2024,5,20,Monday
152,0,28,72,218,411,2024-04-21,0.7,0,0.886,1,1,1.7863,19.12,82.98,1.42,2024,4,21,Sunday
46,2,31,77,73,133,2024-04-16,0.2,0,1.0,0,0,3.0801,18.11,77.97,1.74,2024,4,16,Tuesday
142,6,8,29,115,99,2024-04-26,1.0,0,0.725,0,1,3.2728,20.01,77.34,1.45,2024,4,26,Friday
46,1,3,15,39,446,2024-04-03,0.6,7,0.913,0,1,2.1443,15.77,77.01,1.53,2024,4,3,Wednesday
135,2,30,75,193,598,2024-04-18,0.3,4,1.0,0,0,0.9353,18.11,75.16,1.71,2024,4,18,Thursday
150,6,4,28,1,117,2024-06-07,1.3,0,1.0,0,0,1.8198,25.63,73.43,1.32,2024,6,7,Friday
60,5,18,45,93,374,2024-05-12,0.8,0,1.0,1,0,0.9756,22.3,72.83,1.25,2024,5,12,Sunday
18,5,16,25,94,247,2024-04-27,0.2,1,1.0,1,0,1.5732,20.33,75.43,1.55,2024,4,27,Saturday
35,2,31,79,230,549,2024-06-03,0.9,0,1.0,0,0,2.5066,23.61,74.08,2.61,2024,6,3,Monday
146,2,29,76,60,580,2024-06-21,2.1,0,1.0,0,0,7.3266,27.03,82.18,1.77,2024,6,21,Friday
118,5,16,27,100,630,2024-05-27,0.3,11,0.768,0,1,2.3856,22.74,70.25,1.8,2024,5,27,Monday
57,6,10,57,205,719,2024-04-21,0.8,3,1.0,1,0,1.6432,19.98,79.68,1.38,2024,4,21,Sunday
41,5,16,25,101,496,2024-05-28,1.2,0,0.853,0,1,1.1301,22.18,68.03,1.68,2024,5,28,Tuesday
128,1,7,17,52,396,2024-04-25,0.0,0,1.0,0,0,3.8265,20.23,74.65,1.37,2024,4,25,Thursday
137,6,4,28,216,94,2024-05-21,0.4,0,1.0,0,0,1.7729,23.09,69.89,1.61,2024,5,21,Tuesday
95,5,16,27,104,635,2024-03-30,0.4,0,0.874,1,0,1.7482,16.19,81.35,1.7,2024,3,30,Saturday
148,6,10,57,205,719,2024-04-15,0.4,6,1.0,0,0,2.8566,18.45,81.03,1.67,2024,4,15,Monday
81,5,16,25,103,631,2024-04-30,0.7,0,0.971,0,0,3.1944,19.44,73.74,2.02,2024,4,30,Tuesday
18,6,8,29,116,276,2024-05-02,0.6,6,0.896,1,1,1.3337,20.88,73.11,1.67,2024,5,2,Thursday
56,6,4,53,156,26,2024-05-19,1.0,3,0.909,1,1,2.2908,24.03,73.43,1.36,2024,5,19,Sunday
41,5,16,25,105,563,2024-05-04,0.3,7,1.0,1,0,2.7398,21.06,70.34,1.59,2024,5,4,Saturday
118,5,16,25,103,366,2024-06-17,0.3,0,1.0,0,0,10.9374,26.81,81.08,1.51,2024,6,17,Monday
62,0,5,6,65,694,2024-05-01,0.6,0,0.838,1,0,2.2995,20.29,73.45,1.28,2024,5,1,Wednesday
8,6,20,68,63,486,2024-05-03,1.2,0,0.675,1,1,2.0936,20.49,74.04,1.46,2024,5,3,Friday
126,6,20,50,229,212,2024-06-24,0.5,10,0.749,0,0,11.2245,26.58,82.34,1.3,2024,6,24,Monday
53,6,21,64,19,691,2024-04-27,2.8,6,0.992,1,0,1.5747,20.16,75.43,1.48,2024,4,27,Saturday
8,5,15,42,89,58,2024-06-08,1.0,7,0.749,1,1,2.3713,25.18,73.93,1.59,2024,6,8,Saturday
81,5,16,25,94,638,2024-05-28,0.6,8,0.856,0,1,1.1433,22.31,67.11,1.83,2024,5,28,Tuesday
57,6,4,53,58,23,2024-04-09,0.2,12,1.0,0,0,5.0752,17.36,81.4,1.8,2024,4,9,Tuesday
134,0,28,72,218,411,2024-05-31,0.9,7,0.784,0,1,2.2561,23.93,67.39,1.8,2024,5,31,Friday
18,6,20,50,229,847,2024-06-11,1.1,0,1.0,0,0,5.6676,25.73,76.21,1.57,2024,6,11,Tuesday
119,6,20,58,172,17,2024-06-05,0.4,9,1.0,0,0,1.9208,24.1,71.82,1.57,2024,6,5,Wednesday
145,1,7,17,41,677,2024-04-25,1.1,1,1.0,0,0,3.0553,19.37,82.71,1.61,2024,4,25,Thursday
62,5,22,81,56,783,2024-06-08,0.6,0,0.848,1,1,2.5755,26.07,73.61,1.77,2024,6,8,Saturday
147,2,29,76,231,379,2024-06-03,0.7,0,0.881,0,1,2.0511,23.61,76.35,2.14,2024,6,3,Monday
74,6,8,29,113,108,2024-03-31,0.5,0,0.666,1,1,1.9857,15.64,80.02,1.72,2024,3,31,Sunday
145,0,5,7,66,510,2024-05-21,1.4,0,0.712,0,1,1.1082,22.71,80.92,1.58,2024,5,21,Tuesday
74,5,16,25,105,563,2024-05-18,0.9,0,1.0,1,0,1.101,22.13,76.4,1.59,2024,5,18,Saturday
137,6,24,39,129,407,2024-05-27,0.5,5,1.0,0,0,2.109,22.65,66.6,1.86,2024,5,27,Monday
29,6,8,29,113,76,2024-03-28,0.9,12,0.882,0,1,1.7009,15.47,73.53,1.97,2024,3,28,Thursday
12,6,20,50,24,300,2024-04-24,3.4,0,1.0,0,0,0.7632,18.88,75.27,1.34,2024,4,24,Wednesday
60,6,20,68,63,486,2024-06-06,1.6,5,0.675,0,1,1.1778,24.84,78.28,1.43,2024,6,6,Thursday
18,0,28,52,169,63,2024-06-11,0.9,0,0.859,0,1,5.6676,25.73,76.21,1.57,2024,6,11,Tuesday
59,5,16,27,97,250,2024-05-14,0.5,11,1.0,0,0,2.2427,21.78,69.18,2.19,2024,5,14,Tuesday
53,2,29,78,157,600,2024-04-10,0.7,5,1.0,0,0,2.2447,17.98,75.75,1.89,2024,4,10,Wednesday
91,6,4,53,77,90,2024-06-14,0.6,11,0.643,0,1,6.4676,26.99,77.41,1.78,2024,6,14,Friday
1,6,21,61,178,622,2024-06-17,0.5,0,1.0,0,0,7.8668,26.9,78.65,1.5,2024,6,17,Monday
8,0,28,72,218,411,2024-05-09,1.2,1,0.775,0,1,0.2932,20.77,67.8,1.67,2024,5,9,Thursday
118,2,31,77,73,133,2024-05-29,0.4,6,1.0,0,0,1.0252,22.68,67.23,1.51,2024,5,29,Wednesday
